Stack id,Question Title,Question Link,Number of Upvotes,Date Created,Views,Last Active
17,"Q: TensorFlow, why was python the chosen language?",http://stackoverflow.com/questions/35677724/tensorflow-why-was-python-the-chosen-language?r=SearchResults,121,"3 years, 4 months ago",7 months ago,50k
18,Q: How to build and use Google TensorFlow C++ api,http://stackoverflow.com/questions/33620794/how-to-build-and-use-google-tensorflow-c-api?r=SearchResults,133,"3 years, 8 months ago",1 month ago,100k
19,"Q: What is logits, softmax and softmax_cross_entropy_with_logits?",http://stackoverflow.com/questions/34240703/what-is-logits-softmax-and-softmax-cross-entropy-with-logits?r=SearchResults,312,"3 years, 7 months ago",16 days ago,146k
20,Q: What's the difference between tf.placeholder and tf.Variable?,http://stackoverflow.com/questions/36693740/whats-the-difference-between-tf-placeholder-and-tf-variable?r=SearchResults,252,"3 years, 3 months ago",6 months ago,65k
21,Q: What does global_step mean in Tensorflow?,http://stackoverflow.com/questions/41166681/what-does-global-step-mean-in-tensorflow?r=SearchResults,76,"2 years, 7 months ago",1 month ago,40k
22,Q: What does tf.nn.conv2d do in tensorflow?,http://stackoverflow.com/questions/34619177/what-does-tf-nn-conv2d-do-in-tensorflow?r=SearchResults,120,"3 years, 6 months ago",6 months ago,66k
23,Q: Error running basic tensorflow example,http://stackoverflow.com/questions/35953210/error-running-basic-tensorflow-example?r=SearchResults,65,"3 years, 4 months ago",8 days ago,77k
24,Q: How to interpret Poolallocator messages in tensorflow?,http://stackoverflow.com/questions/35151207/how-to-interpret-poolallocator-messages-in-tensorflow?r=SearchResults,63,"3 years, 5 months ago","1 year, 2 months ago",17k
25,Q: What's the difference of name scope and a variable scope in tensorflow?,http://stackoverflow.com/questions/35919020/whats-the-difference-of-name-scope-and-a-variable-scope-in-tensorflow?r=SearchResults,242,"3 years, 4 months ago",8 months ago,76k
26,"Q: On Windows, running “import tensorflow” generates No module named “_pywrap_tensorflow” error",http://stackoverflow.com/questions/42011070/on-windows-running-import-tensorflow-generates-no-module-named-pywrap-tenso?r=SearchResults,74,"2 years, 5 months ago",6 months ago,134k
27,Q: Tensorflow One Hot Encoder?,http://stackoverflow.com/questions/33681517/tensorflow-one-hot-encoder?r=SearchResults,60,"3 years, 8 months ago","1 year, 10 months ago",65k
28,Q: Tensorflow: why 'pip uninstall tensorflow' cannot find tensorflow,http://stackoverflow.com/questions/39729787/tensorflow-why-pip-uninstall-tensorflow-cannot-find-tensorflow?r=SearchResults,15,"2 years, 10 months ago","2 years, 10 months ago",28k
29,Q: How can I convert a tensor into a numpy array in TensorFlow?,http://stackoverflow.com/questions/34097281/how-can-i-convert-a-tensor-into-a-numpy-array-in-tensorflow?r=SearchResults,126,"3 years, 7 months ago",1 month ago,214k
30,Q: TensorFlow: numpy.repeat() alternative,http://stackoverflow.com/questions/35361467/tensorflow-numpy-repeat-alternative?r=SearchResults,36,"3 years, 5 months ago",1 month ago,26k
